epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17450.1,0,103.141,0,0,0,0,0,0,63952.7,0,0.000546984,0.000546984,0.000546984
2,17780.1,0,74.6316,0,0,0,0,0,0,119.232,0,0.00109173,0.00109173,0.00109173
